Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022,2023
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,,7954476,8046748,8110610,8097062,8166704,8342285
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,,9.9,10,10.1,10.1,10.2,10.4
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,,3950763,3999452,4030710,4025393,4059953,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,,4003713,4047296,4079900,4071669,4105778,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,,36.7,36.8,37.2,37.7,37.8,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,,38.5,38.6,39,39.5,39.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,,37.6,37.7,38.1,38.6,38.7,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,,5193203,5240576,5255515,5209700,5245705,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,,65.3,65.1,64.8,64.3,64.2,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,,254429,253365,250224,246488,247145,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,,261029,262031,261782,261143,258770,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,,246390,252185,257935,261630,263757,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,,242753,244004,241491,238716,248418,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,,279362,282850,276091,263020,268009,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,,300662,303569,299182,286918,286540,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,,293079,296769,299129,295922,296076,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,,274698,282828,289492,292156,292614,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,,251675,250782,253126,257741,264237,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,,257574,260244,261043,256646,250699,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,,236376,235380,238082,244279,249913,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,,241259,243549,244232,241583,236342,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,,213124,217330,223003,226979,230418,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,,189496,191220,195022,196703,199398,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,,162514,167536,173785,177431,175109,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,,109144,114429,120201,125832,135157,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,,72817,75549,79230,82010,84664,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,,64382,65832,67660,70196,72687,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,,6.4,6.3,6.2,6.1,6.1,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,,6.6,6.6,6.5,6.5,6.4,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,,6.2,6.3,6.4,6.5,6.5,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,,6.1,6.1,6,5.9,6.1,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,,7.1,7.1,6.8,6.5,6.6,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,,7.6,7.6,7.4,7.1,7.1,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,,7.4,7.4,7.4,7.4,7.3,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,,7,7.1,7.2,7.3,7.2,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,,6.4,6.3,6.3,6.4,6.5,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,,6.5,6.5,6.5,6.4,6.2,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,,6,5.9,5.9,6.1,6.2,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,,6.1,6.1,6.1,6,5.8,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,,5.4,5.4,5.5,5.6,5.7,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,,4.8,4.8,4.8,4.9,4.9,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,,4.1,4.2,4.3,4.4,4.3,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,,2.8,2.9,3,3.1,3.3,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,,1.8,1.9,2,2,2.1,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,,1.6,1.6,1.7,1.7,1.8,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,,240968,238785,235778,232193,232721,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,,246745,247598,246598,245467,243566,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,,231663,237747,243524,246768,248846,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,,227669,227336,224626,222554,230857,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,,266260,266364,258376,243734,245762,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,,297114,298821,294737,281425,279392,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,,296358,299912,302029,300607,301213,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,,,275758,283729,290456,293027,295520,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,,,253926,254373,257525,263153,269344,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,,266407,266926,266456,260715,255554,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,,243819,243384,246041,252243,258733,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,,249967,252267,253282,247965,243074,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,,225363,230159,237116,240317,242990,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,,,198432,202514,208404,211037,214423,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,,,168347,174630,182150,187796,187442,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,,,119825,124323,130194,135708,145791,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,,,89407,92119,94962,97173,99289,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,,,105685,106309,107646,109787,111261,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,,,6,5.9,5.8,5.7,5.7,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,,,6.2,6.1,6,6,5.9,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,,,5.8,5.9,6,6.1,6.1,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,,,5.7,5.6,5.5,5.5,5.6,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,,,6.7,6.6,6.3,6,6,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,,,7.4,7.4,7.2,6.9,6.8,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,,,7.4,7.4,7.4,7.4,7.3,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,,,6.9,7,7.1,7.2,7.2,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,,,6.3,6.3,6.3,6.5,6.6,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,,,6.7,6.6,6.5,6.4,6.2,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,,,6.1,6,6,6.2,6.3,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,,,6.2,6.2,6.2,6.1,5.9,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,,,5.6,5.7,5.8,5.9,5.9,
ERP_F_34,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (%),,,,,5,5,5.1,5.2,5.2,
ERP_F_35,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (%),,,,,4.2,4.3,4.5,4.6,4.6,
ERP_F_36,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (%),,,,,3,3.1,3.2,3.3,3.6,
ERP_F_37,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (%),,,,,2.2,2.3,2.3,2.4,2.4,
ERP_F_38,Estimated resident population - Females - year ended 30 June,Females - 85 and over (%),,,,,2.6,2.6,2.6,2.7,2.7,
ERP_P_2,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (no.),,,,,495397,492150,486002,478681,479866,
ERP_P_3,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (no.),,,,,507774,509629,508380,506610,502336,
ERP_P_4,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (no.),,,,,478053,489932,501459,508398,512603,
ERP_P_5,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (no.),,,,,470422,471340,466117,461270,479275,
ERP_P_6,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (no.),,,,,545622,549214,534467,506754,513771,
ERP_P_7,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (no.),,,,,597776,602390,593919,568343,565932,
ERP_P_8,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (no.),,,,,589437,596681,601158,596529,597289,
ERP_P_9,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (no.),,,,,550456,566557,579948,585183,588134,
ERP_P_10,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (no.),,,,,505601,505155,510651,520894,533581,
ERP_P_11,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (no.),,,,,523981,527170,527499,517361,506253,
ERP_P_12,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (no.),,,,,480195,478764,484123,496522,508646,
ERP_P_13,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (no.),,,,,491226,495816,497514,489548,479416,
ERP_P_14,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (no.),,,,,438487,447489,460119,467296,473408,
ERP_P_15,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (no.),,,,,387928,393734,403426,407740,413821,
ERP_P_16,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (no.),,,,,330861,342166,355935,365227,362551,
ERP_P_17,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (no.),,,,,228969,238752,250395,261540,280948,
