 Table 4. Sale prices statistics by NSW Postcode,,,,,,,,,,
Reporting period: July - September 2023,,,,,,,,,,
(s): 30 or fewer properties sold; (-): 10 or fewer properties sold,,,,,,,,,,
Read explanatory notes,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Postcode,Dwelling Type,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2000,Total,840,1155,1513,1416,204,-11.15%,3.13%,10.27%,4.62%
2000,Strata,840,1155,1513,1416,204,-11.15%,3.13%,10.27%,4.62%
2007,Total,636,870,1175,848,46,7.41%,12.99%,-6.12%,6.98%
2007,Strata,636,870,1175,848,46,7.74%,18.21%,-4.17%,12.20%
2008,Total,695,928,1400,1136,49,10.48%,-35.56%,16.67%,-28.99%
2008,Non Strata,-,-,-,-,-,-,-,-,-
2008,Strata,650,855,1230,955,41,6.21%,-32.68%,13.89%,-21.15%
2009,Total,735,865,1360,1143,67,-30.80%,-23.96%,3.08%,67.50%
2009,Strata,735,865,1360,1143,67,-30.80%,-23.96%,11.67%,67.50%
2010,Total,800,1050,1660,1314,178,-4.55%,-20.81%,-7.77%,4.09%
2010,Non Strata,1750,1999,2683,2295,40,-8.09%,5.91%,25.00%,5.26%
2010,Strata,759,933,1246,1029,138,-8.13%,-17.11%,-14.29%,3.76%
2011,Total,688,950,1458,1176,153,-9.52%,5.09%,-13.07%,29.66%
2011,Non Strata,-,-,-,-,-,-,-,-,-
2011,Strata,679,940,1431,1160,150,-7.21%,4.44%,-11.76%,31.58%
2015,Total,733,973,1144,1129,94,-2.75%,2.37%,4.44%,25.33%
2015,Non Strata,1795,2100,2370,2169,s,-2.78%,35.70%,6.25%,41.67%
2015,Strata,693,875,1027,899,77,-10.37%,2.94%,4.05%,22.22%
2016,Total,932,1381,1780,1447,52,5.38%,15.04%,-5.45%,-7.14%
2016,Non Strata,1695,1945,2250,2116,s,22.52%,36.01%,-22.73%,-15.00%
2016,Strata,848,1070,1386,1122,35,8.08%,17.97%,6.06%,-2.78%
2017,Total,830,980,1180,1047,189,4.26%,3.27%,-9.57%,15.95%
2017,Non Strata,-,-,-,-,-,-,-,-,-
2017,Strata,829,974,1113,1001,180,5.84%,3.59%,-11.76%,13.21%
2018,Total,720,888,1454,1174,94,1.14%,10.25%,-19.66%,18.99%
2018,Non Strata,1827,2095,2745,2336,s,10.26%,12.94%,-33.33%,80.00%
2018,Strata,684,834,993,899,76,15.00%,8.28%,-15.56%,10.14%
2019,Total,734,935,1415,1122,67,-13.02%,-7.43%,-1.47%,-2.90%
2019,Non Strata,1733,1960,2200,1939,s,-11.91%,-1.26%,0.00%,-38.89%
2019,Strata,718,878,1139,961,56,-8.12%,-0.28%,-1.75%,9.80%
2020,Total,722,891,1150,991,122,-1.63%,1.85%,32.61%,64.86%
2020,Non Strata,1703,1893,2015,1854,s,10.35%,-0.39%,12.50%,-5.26%
2020,Strata,700,846,1033,842,104,-4.94%,3.17%,36.84%,89.09%
2021,Total,950,2263,3416,2530,92,5.23%,-5.73%,-1.08%,15.00%
2021,Non Strata,2531,3178,4296,3575,54,-10.11%,13.48%,5.88%,1.89%
2021,Strata,750,868,1366,1044,38,-11.25%,6.44%,-9.52%,40.74%
2022,Total,1060,1580,2500,1904,85,18.80%,-3.05%,49.12%,21.43%
2022,Non Strata,2650,3200,3764,3259,s,7.29%,8.29%,50.00%,14.29%
2022,Strata,920,1350,1735,1370,61,17.39%,-6.90%,48.78%,24.49%
2023,Total,1221,1669,3213,3119,42,-21.62%,-24.12%,-27.59%,-6.67%
2023,Non Strata,-,-,-,-,-,-,-,-,-
2023,Strata,1195,1409,2125,1864,36,-9.42%,-12.13%,-10.00%,20.00%
2024,Total,1398,2325,3895,2959,56,46.23%,-5.49%,-16.42%,16.67%
2024,Non Strata,3858,4775,5447,5112,s,0.53%,7.65%,11.11%,11.11%
2024,Strata,1323,1488,2200,1762,36,4.39%,-10.34%,-26.53%,20.00%
2025,Total,2600,4000,6652,4482,45,60.00%,31.69%,9.76%,18.42%
2025,Non Strata,4056,5276,6950,5978,s,21.29%,-9.03%,35.29%,21.05%
2025,Strata,1173,2503,3520,2917,s,65.73%,60.42%,-8.33%,15.79%
2026,Total,1200,1880,3275,2566,173,6.97%,13.94%,8.13%,38.40%
2026,Non Strata,3844,4650,5865,5293,46,10.06%,13.76%,58.62%,43.75%
2026,Strata,1075,1370,1938,1578,127,-12.46%,1.48%,-3.05%,36.56%
2027,Total,1250,2050,2790,2534,49,-41.43%,21.30%,-16.95%,40.00%
2027,Non Strata,-,-,-,-,-,-,-,-,-
2027,Strata,1235,1985,2790,2254,46,-40.75%,26.43%,-11.54%,39.39%
2028,Total,1521,2133,3150,2439,38,5.88%,-28.92%,11.76%,22.58%
2028,Non Strata,-,-,-,-,-,-,-,-,-
2028,Strata,1464,2065,3000,2254,36,21.40%,-31.17%,20.00%,16.13%
2029,Total,1145,1635,3036,2150,51,-55.81%,-29.27%,24.39%,34.21%
2029,Non Strata,-,-,-,-,-,-,-,-,-
2029,Strata,1085,1315,2250,1693,41,-14.05%,-38.04%,78.26%,46.43%
2030,Total,1225,3950,9540,5502,56,-23.15%,1.48%,5.66%,27.27%
2030,Non Strata,4478,9300,10850,8844,31,1.20%,36.76%,29.17%,34.78%
2030,Strata,1020,1150,1740,1359,s,-25.81%,-2.54%,-13.79%,19.05%
2031,Total,998,1300,2599,2256,179,-7.14%,5.91%,23.45%,37.69%
2031,Non Strata,2775,3300,5168,3949,33,-1.12%,0.00%,-25.00%,-15.38%
2031,Strata,953,1193,1593,1874,146,3.70%,10.42%,44.55%,60.44%
2032,Total,796,1033,2135,1520,46,2.48%,0.49%,9.52%,43.75%
2032,Non Strata,1963,2413,2712,2557,s,10.03%,1.17%,0.00%,63.64%
